"행정구역","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_0세","2022년04월_계_1세","2022년04월_계_2세","2022년04월_계_3세","2022년04월_계_4세","2022년04월_계_5세","2022년04월_계_6세","2022년04월_계_7세","2022년04월_계_8세","2022년04월_계_9세","2022년04월_계_10세","2022년04월_계_11세","2022년04월_계_12세","2022년04월_계_13세","2022년04월_계_14세","2022년04월_계_15세","2022년04월_계_16세","2022년04월_계_17세","2022년04월_계_18세","2022년04월_계_19세","2022년04월_계_20세","2022년04월_계_21세","2022년04월_계_22세","2022년04월_계_23세","2022년04월_계_24세","2022년04월_계_25세","2022년04월_계_26세","2022년04월_계_27세","2022년04월_계_28세","2022년04월_계_29세","2022년04월_계_30세","2022년04월_계_31세","2022년04월_계_32세","2022년04월_계_33세","2022년04월_계_34세","2022년04월_계_35세","2022년04월_계_36세","2022년04월_계_37세","2022년04월_계_38세","2022년04월_계_39세","2022년04월_계_40세","2022년04월_계_41세","2022년04월_계_42세","2022년04월_계_43세","2022년04월_계_44세","2022년04월_계_45세","2022년04월_계_46세","2022년04월_계_47세","2022년04월_계_48세","2022년04월_계_49세","2022년04월_계_50세","2022년04월_계_51세","2022년04월_계_52세","2022년04월_계_53세","2022년04월_계_54세","2022년04월_계_55세","2022년04월_계_56세","2022년04월_계_57세","2022년04월_계_58세","2022년04월_계_59세","2022년04월_계_60세","2022년04월_계_61세","2022년04월_계_62세","2022년04월_계_63세","2022년04월_계_64세","2022년04월_계_65세","2022년04월_계_66세","2022년04월_계_67세","2022년04월_계_68세","2022년04월_계_69세","2022년04월_계_70세","2022년04월_계_71세","2022년04월_계_72세","2022년04월_계_73세","2022년04월_계_74세","2022년04월_계_75세","2022년04월_계_76세","2022년04월_계_77세","2022년04월_계_78세","2022년04월_계_79세","2022년04월_계_80세","2022년04월_계_81세","2022년04월_계_82세","2022년04월_계_83세","2022년04월_계_84세","2022년04월_계_85세","2022년04월_계_86세","2022년04월_계_87세","2022년04월_계_88세","2022년04월_계_89세","2022년04월_계_90세","2022년04월_계_91세","2022년04월_계_92세","2022년04월_계_93세","2022년04월_계_94세","2022년04월_계_95세","2022년04월_계_96세","2022년04월_계_97세","2022년04월_계_98세","2022년04월_계_99세","2022년04월_계_100세 이상"
"경기도 남양주시 (4136000000)","734,642","734,642","3,602","4,300","4,776","5,366","5,971","6,646","7,569","7,589","7,659","8,429","8,416","8,367","7,847","8,069","8,421","7,835","7,095","7,355","7,656","7,486","7,925","8,832","8,632","8,460","8,812","8,605","8,749","8,520","8,338","8,680","8,449","7,812","7,598","7,801","7,896","8,214","9,037","9,279","10,807","12,236","13,479","13,834","13,943","12,422","12,590","12,225","12,812","13,259","14,047","13,921","14,282","14,045","13,206","13,459","11,942","11,393","11,839","11,370","10,304","11,610","10,765","11,820","10,879","9,881","9,641","8,846","8,253","8,721","6,646","6,958","5,628","5,026","5,283","5,253","5,282","4,976","3,677","3,840","3,657","4,091","3,816","3,045","2,877","2,528","2,073","1,922","1,628","1,441","1,043","907","755","524","499","391","281","184","134","80","77","79","117"
"경기도 남양주시 와부읍(4136025000)","59,343","59,343","184","195","234","273","309","352","415","441","475","543","601","689","651","711","791","735","634","737","745","695","713","781","821","793","758","721","760","701","665","650","585","552","478","520","510","470","509","529","627","714","803","844","926","904","958","1,004","1,083","1,163","1,227","1,238","1,206","1,288","1,221","1,171","1,059","1,025","1,043","1,041","954","966","890","951","971","782","811","772","719","768","616","621","522","466","533","507","531","510","356","378","391","456","364","293","297","262","206","193","155","141","91","94","64","58","57","35","28","16","11","5","10","8","13"
"경기도 남양주시 진접읍(4136025300)","96,163","96,163","364","494","566","618","727","810","913","939","1,048","1,160","1,198","1,158","1,192","1,251","1,208","1,209","1,120","1,077","1,109","1,082","1,092","1,215","1,161","1,131","1,127","1,035","1,096","1,067","1,018","1,037","964","864","904","912","915","964","1,063","1,052","1,221","1,409","1,658","1,722","1,758","1,599","1,712","1,630","1,772","1,832","1,918","1,925","1,949","1,885","1,728","1,805","1,523","1,528","1,617","1,450","1,389","1,510","1,406","1,720","1,481","1,256","1,235","1,196","1,111","1,123","868","910","772","669","706","669","720","632","486","503","488","583","489","427","393","313","282","262","214","207","145","118","103","60","46","48","38","19","21","9","7","12","16"
"경기도 남양주시 화도읍(4136025600)","66,473","66,473","287","299","352","374","455","476","566","538","580","652","707","687","666","686","737","699","686","674","701","690","732","812","857","768","860","836","854","771","751","728","713","676","602","599","639","623","710","742","855","996","1,121","1,204","1,221","1,066","1,087","1,149","1,238","1,244","1,396","1,405","1,404","1,375","1,299","1,283","1,204","1,041","1,175","1,120","932","1,121","1,008","1,092","1,026","934","898","858","762","844","647","654","525","487","501","582","525","503","376","374","373","432","408","323","262","252","187","175","145","121","117","82","71","46","52","34","24","15","11","10","4","5","7"
"경기도 남양주시 화도읍동부출장소(4136025700)","14,677","14,677","79","116","146","141","154","166","182","173","145","178","193","161","132","139","188","138","114","120","119","116","121","152","146","151","139","142","157","137","178","154","185","158","166","178","191","182","212","214","211","305","321","290","301","242","250","214","231","245","266","266","253","261","224","235","223","203","239","231","206","257","241","272","234","219","185","184","180","172","160","157","119","109","70","78","94","106","60","72","58","65","70","54","52","47","39","38","33","24","24","28","24","11","26","15","4","5","3","2","1","3","2"
"경기도 남양주시 화도읍남부출장소(4136025800)","36,992","36,992","171","230","250","292","331","342","404","405","421","433","477","450","420","463","453","424","398","430","463","405","458","430","398","408","423","370","389","345","362","425","364","346","347","364","396","378","425","448","578","639","719","747","740","691","682","657","706","693","751","751","735","758","677","712","615","562","578","542","486","584","552","520","516","462","471","419","330","409","312","314","252","220","234","267","255","245","176","194","165","194","224","131","139","100","77","101","88","65","40","50","24","35","21","14","13","4","1","3","6","3","5"
"경기도 남양주시 진건읍(4136025900)","23,084","23,084","51","55","58","90","87","82","98","98","117","123","144","153","157","146","188","168","174","167","192","189","259","260","307","264","303","325","332","307","310","313","300","271","232","205","209","215","215","198","193","213","233","287","289","259","284","266","287","347","361","382","423","445","433","506","482","469","532","501","481","624","536","569","520","472","451","390","361","377","303","314","247","207","225","213","216","210","156","161","152","181","176","140","135","133","112","83","68","70","60","38","37","24","20","17","16","10","10","4","3","3","5"
"경기도 남양주시 오남읍(4136026200)","52,927","52,927","181","254","252","272","307","365","407","417","451","506","571","580","570","616","657","649","644","660","680","662","714","742","722","666","706","692","624","656","600","570","551","509","460","436","446","505","457","494","612","698","808","850","867","812","881","927","1,030","1,084","1,138","1,168","1,253","1,235","1,104","1,130","974","891","981","880","815","867","783","795","767","674","611","567","541","562","444","464","385","333","388","389","404","383","302","317","279","302","312","241","248","222","182","152","129","107","95","62","51","32","42","32","19","17","12","7","6","6","7"
"경기도 남양주시 퇴계원읍(4136026500)","28,612","28,612","105","118","126","130","136","158","172","177","186","197","231","218","202","248","271","208","261","223","270","297","302","366","388","368","378","387","377","413","385","389","369","345","322","323","266","300","319","255","306","363","369","401","381","378","362","352","362","447","480","476","505","515","533","568","524","526","579","568","526","619","584","648","609","538","517","482","413","438","303","335","240","270","284","231","229","244","170","199","189","173","185","147","137","118","111","93","89","80","47","49","38","22","15","21","13","7","5","2","1","4","6"
"경기도 남양주시 별내면(4136031000)","19,306","19,306","55","69","73","81","105","128","120","136","127","162","175","184","163","194","184","183","176","174","197","209","217","282","244","256","243","261","265","207","224","225","198","148","161","163","149","144","144","164","185","256","211","258","287","265","268","293","301","358","377","391","389","398","374","405","369","375","357","360","303","340","334","359","289","331","282","268","293","303","231","221","181","165","159","220","195","174","130","139","140","178","172","129","108","113","84","92","60","52","31","27","36","20","22","13","14","7","6","3","6","2","7"
"경기도 남양주시 수동면(4136034000)","8,945","8,945","11","21","17","22","30","34","28","33","39","62","56","36","58","56","67","47","61","46","53","53","57","85","73","83","79","83","85","72","66","83","66","84","61","60","72","65","77","79","60","84","97","92","94","93","89","100","98","117","122","113","142","122","164","200","174","164","217","194","184","220","196","234","221","224","239","184","201","219","144","148","140","123","137","137","102","111","97","116","89","96","86","77","67","61","42","53","52","36","31","37","34","18","16","26","11","10","8","7","4","3","8"
"경기도 남양주시 조안면(4136036000)","4,080","4,080","8","17","6","20","16","23","15","22","20","28","33","25","24","25","25","21","22","22","22","20","26","34","43","43","40","38","41","40","44","38","38","42","35","32","19","29","33","52","51","43","56","51","58","35","46","36","44","54","68","56","58","64","55","70","70","83","97","87","77","94","89","89","105","98","107","90","86","95","68","79","52","50","53","59","58","53","34","36","37","36","33","34","28","32","23","26","20","18","10","12","5","7","6","7","4","1","1","3","1","1","0"
"경기도 남양주시 호평동(4136051000)","57,310","57,310","312","387","422","504","546","632","731","752","712","833","810","762","749","749","776","726","566","647","707","647","715","738","657","636","679","569","543","569","549","541","565","560","542","547","553","608","767","838","1,002","1,135","1,140","1,258","1,264","1,159","1,074","1,079","1,172","1,170","1,258","1,207","1,221","1,134","1,098","1,018","903","757","738","706","647","697","662","720","647","572","563","549","543","482","421","441","350","345","347","344","368","360","268","264","260","267","275","213","181","141","120","128","109","79","57","56","43","30","32","25","17","20","5","3","3","8","9"
